Sample	Series	Platform	Speak	Breakpoint_CNA	Breakpoint_CBS	Spread	Label
GSM169442	GSE7068	GPL2004	6.34855624724235	28	82	0.269662451822765	1
GSM169444	GSE7068	GPL2004	3.86141564128286	24	56	0.295123088063582	1
GSM169449	GSE7068	GPL2004	6.77788259523059	7	65	0.229562332625537	1
GSM174830	GSE7255	GPL2004	1.75638004984589	119	31	0.275124018798364	1
GSM174874	GSE7255	GPL2004	1.69278780664143	109	28	0.21971417330478	1
GSM188116	GSE7822	GPL2004	4.48948741119484	29	55	0.325024991258963	1
GSM188117	GSE7822	GPL2004	6.23178818474082	26	46	0.276636678066828	1
GSM242180	GSE9585	GPL2004	2.50124356008073	17	52	0.263145679744871	1
GSM248490	GSE9635	GPL2004	2.33651954499659	16	36	0.305840854906291	1
GSM248506	GSE9635	GPL2004	2.11499208059833	10	26	0.333926106643464	1
GSM248523	GSE9635	GPL2004	4.0961676641251	20	37	0.281946131287802	1
GSM248528	GSE9635	GPL2004	4.76472167391643	14	32	0.293574983270488	1
GSM248530	GSE9635	GPL2004	8.19623468975538	21	41	0.305711242513133	1
GSM248536	GSE9635	GPL2004	3.78806336987761	11	41	0.336963890248253	1
GSM248543	GSE9635	GPL2004	6.38807331537907	26	38	0.378095723419653	1
GSM255022	GSE10099	GPL2004	8.25644388009929	23	40	0.330706221654673	1
GSM255026	GSE10099	GPL2004	6.02726664734828	15	31	0.254792666041607	1
GSM255029	GSE10099	GPL2004	5.68484939919334	21	48	0.352115047612378	1
GSM255032	GSE10099	GPL2004	5.17117359374663	15	34	0.325978164998604	1
GSM255039	GSE10099	GPL2004	3.82812784809273	11	28	0.325376588449137	1
GSM255043	GSE10099	GPL2004	7.13013488046451	37	73	0.318658548599148	1
GSM255055	GSE10099	GPL2004	6.98494869630366	21	25	0.261843498860778	1
GSM255056	GSE10099	GPL2004	3.13781901562244	16	58	0.288571830876978	1
GSM255069	GSE10099	GPL2004	3.66681889409089	12	30	0.277901885016315	1
GSM255077	GSE10099	GPL2004	4.01967683433179	14	29	0.386854588661744	1
GSM255082	GSE10099	GPL2004	4.16547098682489	12	39	0.276535220977132	1
GSM255122	GSE10099	GPL2004	2.46639439102761	7	28	0.246057411448662	1
GSM255140	GSE10099	GPL2004	6.16139051013433	9	29	0.291875915170474	1
GSM255148	GSE10099	GPL2004	4.20418261261782	6	30	0.281956540477635	1
GSM255150	GSE10099	GPL2004	1.82695796395997	19	25	0.313846228901891	1
GSM255155	GSE10099	GPL2004	9.48562990343042	25	31	0.32184650096966	1
GSM255169	GSE10099	GPL2004	7.13011385476192	24	38	0.317660813888758	1
GSM255338	GSE10099	GPL2004	14.1618004625243	14	27	0.333280051276073	1
GSM255339	GSE10099	GPL2004	4.09137354897199	27	43	0.321595044891507	1
GSM255346	GSE10099	GPL2004	5.67839568203883	19	33	0.307125524982964	1
GSM255348	GSE10099	GPL2004	3.4909461003576	34	43	0.293623274056147	1
GSM255349	GSE10099	GPL2004	3.87913257462641	9	28	0.27523173001065	1
GSM255362	GSE10099	GPL2004	4.93759031606156	8	24	0.271936841136865	1
GSM255423	GSE10099	GPL2004	5.44283182247823	36	58	0.284205525604444	1
GSM255482	GSE10099	GPL2004	2.77414256933954	15	60	0.282845204666211	1
GSM267427	GSE10611	GPL2004	5.57363351273011	27	61	0.39551875779653	1
GSM272430	GSE10792	GPL2004	3.28867556025654	3	23	0.253185947167252	1
GSM272436	GSE10792	GPL2004	6.67767992931204	11	22	0.282909760149054	1
GSM272458	GSE10792	GPL2004	4.56367291280063	10	22	0.311143548245339	1
GSM272460	GSE10792	GPL2004	3.34603671961086	12	25	0.312651446444177	1
GSM272484	GSE10792	GPL2004	6.27239980184793	17	27	0.273038396602287	1
GSM329030	GSE13137	GPL2004	4.31825359896836	19	39	0.304691012852639	1
GSM344348	GSE13696	GPL2004	5.64377667994178	22	46	0.317523110135632	1
GSM344351	GSE13696	GPL2004	3.73347469340532	47	69	0.296060598137752	1
GSM344370	GSE13696	GPL2004	3.44750611462888	37	62	0.343618056875507	1
GSM344372	GSE13696	GPL2004	5.74147899382431	34	44	0.372036768072664	1
GSM344379	GSE13696	GPL2004	8.62620432479703	62	78	0.366646746993916	1
GSM344383	GSE13696	GPL2004	6.7004028918644	19	35	0.342543030188862	1
GSM360383	GSE14437	GPL2004	3.5623174034919	39	72	0.297635260808506	1
GSM360384	GSE14437	GPL2004	7.91652010664302	12	30	0.348661887000199	1
GSM360385	GSE14437	GPL2004	8.37963373876524	18	28	0.354805524548118	1
GSM360386	GSE14437	GPL2004	5.49760663429315	18	54	0.277987365192897	1
GSM360395	GSE14437	GPL2004	2.98663147526454	3	22	0.28299807157494	1
GSM360396	GSE14437	GPL2004	8.72412107042395	3	24	0.277257894817645	1
GSM360397	GSE14437	GPL2004	3.71521853921489	5	31	0.291930063812392	1
GSM360398	GSE14437	GPL2004	7.80001721594412	19	22	0.296607022591732	1
GSM360403	GSE14437	GPL2004	6.42112484410845	31	34	0.273788350344549	1
GSM360406	GSE14437	GPL2004	5.57825504771821	14	26	0.364781090620466	1
GSM360410	GSE14437	GPL2004	2.13328672951569	9	31	0.295208585755559	1
GSM360411	GSE14437	GPL2004	1.98125814807407	7	25	0.338722558257245	1
GSM360412	GSE14437	GPL2004	7.72536195160819	24	32	0.334483628134977	1
GSM360414	GSE14437	GPL2004	4.10421540771303	14	23	0.320622612349341	1
GSM360415	GSE14437	GPL2004	14.231446838725	4	23	0.405736736254092	1
GSM360416	GSE14437	GPL2004	15.6191985449016	3	22	0.296295983106436	1
GSM360418	GSE14437	GPL2004	6.03367892658037	9	35	0.295590310328549	1
GSM360419	GSE14437	GPL2004	7.70328048985979	3	24	0.351467955291165	1
GSM360421	GSE14437	GPL2004	3.68431390377701	23	23	0.303950215679845	1
GSM360422	GSE14437	GPL2004	7.93316948318007	9	27	0.324002746173072	1
GSM360428	GSE14437	GPL2004	4.25856481599625	15	26	0.285497769823806	1
GSM360430	GSE14437	GPL2004	8.49749241648936	20	29	0.269280637357595	1
GSM360434	GSE14437	GPL2004	1.5859685592947	118	22	0.286929615835961	1
GSM360437	GSE14437	GPL2004	11.1110921943464	27	31	0.300904891367622	1
GSM360443	GSE14437	GPL2004	3.83463362925787	10	36	0.355863659898519	1
GSM360451	GSE14437	GPL2004	5.29626225448596	19	27	0.328383944533276	1
GSM360453	GSE14437	GPL2004	6.60204519356746	15	29	0.33444316928493	1
GSM360459	GSE14437	GPL2004	6.12975337808173	29	32	0.353765401368233	1
GSM360462	GSE14437	GPL2004	4.11456624886971	32	29	0.308664532751146	1
GSM364588	GSE14579	GPL2004	2.84216019654022	22	32	0.313477117710507	1
GSM364591	GSE14579	GPL2004	13.1068620568949	22	42	0.312018591494636	1
GSM364592	GSE14579	GPL2004	13.5567602377949	33	41	0.303920758985995	1
GSM364594	GSE14579	GPL2004	9.3858049516542	21	44	0.244214447846392	1
GSM364595	GSE14579	GPL2004	3.64800570207164	24	42	0.273091821450971	1
GSM364597	GSE14579	GPL2004	2.75726939722077	7	33	0.345416385626641	1
GSM365858	GSE14656	GPL2004	3.83129314057163	7	31	0.269640746221598	1
GSM365862	GSE14656	GPL2004	1.68100377552625	7	30	0.322954655975943	1
GSM365871	GSE14656	GPL2004	2.12236793075009	18	36	0.305263430700394	1
GSM365880	GSE14656	GPL2004	1.66211639645663	14	30	0.306213370066647	1
GSM374903	GSE14860	GPL2004	1.65627873170557	2	23	0.290709942320466	1
GSM374912	GSE14860	GPL2004	7.33257313000647	24	35	0.30463077230512	1
GSM374917	GSE14860	GPL2004	3.6270409390523	4	23	0.305891926007909	1
GSM374929	GSE14860	GPL2004	2.90428013765372	29	39	0.306674034330911	1
GSM379211	GSE15187	GPL2004	3.20423899870346	11	34	0.417992463796955	1
GSM393376	GSE15714	GPL2004	2.27104184750449	7	27	0.40600125391148	1
GSM455970	GSE18252	GPL2004	4.94382134416654	12	38	0.270773022245931	1
GSM456020	GSE18252	GPL2004	15.4276394833012	33	39	0.285543667397632	1
GSM456024	GSE18252	GPL2004	6.33027184190103	9	23	0.258254047724027	1
GSM456072	GSE18252	GPL2004	7.84020998242563	25	38	0.252860689893453	1
GSM456076	GSE18252	GPL2004	7.79263471720543	31	32	0.259268057789802	1
GSM456084	GSE18252	GPL2004	4.26544727288489	14	32	0.250244184985477	1
GSM456086	GSE18252	GPL2004	4.13297865458936	9	30	0.258323248544741	1
GSM456090	GSE18252	GPL2004	3.17288097787568	7	28	0.237804661254715	1
GSM456092	GSE18252	GPL2004	3.88443730594739	32	41	0.264233797609183	1
GSM456096	GSE18252	GPL2004	2.40312710006843	26	38	0.270742326873708	1
GSM456116	GSE18252	GPL2004	5.47948054198356	41	41	0.263551111949572	1
GSM473114	GSE19101	GPL2004	1.75688430086253	103	28	0.198144344726224	1
GSM473123	GSE19101	GPL2004	1.48113893247582	120	22	0.194175729808484	1
GSM495921	GSE19523	GPL2004	1.46339175599286	115	22	0.306913714400698	1
GSM495922	GSE19523	GPL2004	6.75570161392268	3	22	0.311914789532996	1
GSM513822	GSE20481	GPL2004	2.99229042310236	9	50	0.288067941253556	1
GSM513824	GSE20481	GPL2004	4.74096938108659	25	35	0.283349635800045	1
GSM513828	GSE20481	GPL2004	4.41959467345465	28	29	0.292622698906071	1
GSM513874	GSE20481	GPL2004	7.52395922764128	22	28	0.28819858328461	1
GSM513875	GSE20481	GPL2004	4.66254109866691	17	41	0.294874555424878	1
GSM513945	GSE20481	GPL2004	4.79598559288395	36	90	0.267346829328167	1
GSM513950	GSE20481	GPL2004	3.13430190997686	11	42	0.262395965578248	1
GSM513951	GSE20481	GPL2004	4.4737427310664	58	87	0.244890223273802	1
