Series	Array	platform	TumorOrNormal	CNsegments	fracbsegments	skewness_seg	kurtosis_seg	skewness_prob	kurtosis_prob	probeMean	segMedian	positive_segment_ratio_mean	positive_segment_ratio_med
GSE11948	GSM299681	GPL3718	Normal	1846	468	0.5134	0.3472	0.3194	0.4984	0.0267	0.0000	0.4674	0.5031
GSE11948	GSM299682	GPL3720	Normal	1224	491	0.3236	0.8594	0.2919	0.0065	0.0110	-0.0915	0.3978	0.4996
GSE11948	GSM299683	GPL3718	Normal	82	304	1.0341	8.3273	-0.0560	1.2934	0.0085	0.0050	0.1579	0.4243
GSE11948	GSM299684	GPL3720	Normal	90	143	-0.8032	19.3430	0.3989	-0.1331	0.0048	-0.0049	0.3172	0.4903
GSE11948	GSM299784	GPL3718	Normal	95	173	-1.6496	6.7626	-0.2545	2.3050	-0.0083	-0.0128	0.2280	0.5351
GSE11948	GSM299785	GPL3720	Normal	75	386	5.8948	39.2681	0.1348	-0.1900	0.0249	0.0178	0.2576	0.5056
GSE11948	GSM299786	GPL3718	Normal	83	254	-1.5094	7.4882	-0.1358	1.8255	-0.0051	-0.0101	0.1740	0.4963
GSE11948	GSM299787	GPL3720	Normal	81	335	-2.3374	25.0334	0.2899	-0.2037	0.0072	-0.0004	0.3432	0.5006
GSE11948	GSM299788	GPL3718	Tumor	541	144	0.7521	4.3221	-0.0361	0.7260	0.0335	-0.0039	0.3480	0.5028
GSE11948	GSM299789	GPL3720	Tumor	475	181	0.1880	4.2527	0.0032	0.3921	0.0314	-0.0379	0.2945	0.4992
GSE11948	GSM299790	GPL3718	Tumor	95	239	-2.6619	10.9284	0.0275	2.0577	-0.0013	-0.0050	0.2031	0.5268
GSE11948	GSM299791	GPL3720	Tumor	79	256	4.2480	18.1361	0.3243	-0.2258	-0.0031	-0.0105	0.2541	0.4804
GSE11948	GSM301487	GPL3718	Normal	1271	454	1.7704	8.4029	0.2153	3.1772	0.0049	-0.0027	0.4420	0.5012
