series sample platform	choice
GSE10060 GSM213809 GPL2641	5,1
GSE10060 GSM254145 GPL2641	5,1
GSE12808 GSM321609 GPL2641	5,1
GSE7068 GSM169442 GPL2004	5,1
GSE7255 GSM174830 GPL2004	5,1
GSE10099 GSM255059 GPL2004	5,1
GSE10099 GSM255173 GPL2005	5,1
GSE10387 GSM262537 GPL2005	5,1
GSE10099 GSM255595 GPL2005	5,1(even_more)
GSE7255 GSM174833 GPL3718	5,1
GSE7822 GSM188230 GPL3718	5,1
GSE20353 GSM509911 GPL3718	5,1
GSE19578 GSM487824 GPL3718?	NA
GSE19578 GSM487834 GPL3718?	NA
GSE14437 GSM360684 GPL3720	10,1
GSE14437 GSM360699 GPL3720	10,1
GSE9611 GSM243152 GPL3720?	NA
GSE21123 GSM528969 GPL3720	10,1
GSE24412 GSM601493 GPL3720?	NA
GSE16619 GSM417171 GPL6804	5,1
GSE22577 GSM560316 GPL6804	5,1
GSE43470 GSM1063085 GPL6804	5,1
GSE13372 GSM337641 GPL6801	5,1
GSE15264 GSM381297 GPL6801	5,1
GSE17359 GSM433918 GPL6801	5,1
GSE47204 GSM1146803	GPL16131	NA
GSE69632 GSM1704973 GPL16131	NA
GSE69632 GSM1704975 GPL16131	NA
GSE69632 GSM1704979 GPL16131	NA
GSE69632 GSM1704976 GPL18637	NA
GSE70397 GSM1726528 GPL18637	5,1
GSE70397 GSM1726529 GPL18637	5,1
